○ 통계표명 :,전국 및 시도별 치매유병현황,,,,,,
○ 수록기간 :,년 2015 ~ 2065,,,,,,
○ 출처1 :,치매유병현황: 중앙치매센터,,,,,,
○ 출처2 :,"노인인구수: 통계청(주민인구연앙인구, 2015-2018)
통계청(장래인구추계, 2019-2065)",,,,,,
○ 자료다운일자 :,2019-12-02 14:32,,,,,,
○ 통계표URL :,https://www.nid.or.kr/info/ub_2019.aspx?no=43406,,,,,,
,* 홈페이지개편 시 통계표 URL은 달라질 수 있음,,,,,,
○ 단위 :,"명, %",,,,,,
,,,,,,,
항목,,,,,노인인구현황,치매환자 유병현황,
시점,행정구역(시도)별,행정구역(기초)별,성별,연령별,노인인구수,치매환자,
,,,,,,환자수,유병률
2015,서울특별시,서울특별시,전체,65~69세,"434,169","6,007",1.38%
2015,서울특별시,서울특별시,전체,70~74세,"338,229","13,075",3.87%
2015,서울특별시,서울특별시,전체,75~79세,"224,632","26,501",11.80%
2015,서울특별시,서울특별시,전체,80~84세,"121,160","25,485",21.03%
2015,서울특별시,서울특별시,전체,85세이상,"83,223","32,118",38.59%
2015,서울특별시,서울특별시,전체,60세이상,"1,751,289","106,475",6.08%
2015,서울특별시,서울특별시,전체,65세이상,"1,201,412","103,186",8.59%
2015,서울특별시,종로구,전체,65~69세,"7,175",99,1.38%
2015,서울특별시,종로구,전체,70~74세,"6,512",250,3.84%
2015,서울특별시,종로구,전체,75~79세,"4,647",547,11.77%
2015,서울특별시,종로구,전체,80~84세,"2,594",542,20.89%
2015,서울특별시,종로구,전체,85세이상,"1,880",745,39.63%
2015,서울특별시,종로구,전체,60세이상,"31,371","2,235",7.13%
2015,서울특별시,종로구,전체,65세이상,"22,806","2,183",9.57%
2015,서울특별시,중구,전체,65~69세,"6,124",85,1.39%
2015,서울특별시,중구,전체,70~74세,"5,269",202,3.84%
2015,서울특별시,중구,전체,75~79세,"3,661",434,11.87%
2015,서울특별시,중구,전체,80~84세,"2,056",436,21.20%
2015,서울특별시,중구,전체,85세이상,"1,471",575,39.13%
2015,서울특별시,중구,전체,60세이상,"26,108","1,779",6.82%
2015,서울특별시,중구,전체,65세이상,"18,581","1,733",9.33%
2015,서울특별시,용산구,전체,65~69세,"10,121",138,1.37%
2015,서울특별시,용산구,전체,70~74세,"8,904",341,3.83%
2015,서울특별시,용산구,전체,75~79세,"6,695",798,11.93%
2015,서울특별시,용산구,전체,80~84세,"3,689",771,20.89%
2015,서울특별시,용산구,전체,85세이상,"2,567","1,007",39.22%
2015,서울특별시,용산구,전체,60세이상,"44,176","3,128",7.08%
2015,서울특별시,용산구,전체,65세이상,"31,974","3,055",9.55%
2015,서울특별시,성동구,전체,65~69세,"12,444",172,1.38%
2015,서울특별시,성동구,전체,70~74세,"10,397",400,3.85%
2015,서울특별시,성동구,전체,75~79세,"7,090",840,11.85%
2015,서울특별시,성동구,전체,80~84세,"3,704",777,20.99%
2015,서울특별시,성동구,전체,85세이상,"2,400",934,38.90%
2015,서울특별시,성동구,전체,60세이상,"51,542","3,217",6.24%
2015,서울특별시,성동구,전체,65세이상,"36,034","3,122",8.67%
2015,서울특별시,광진구,전체,65~69세,"14,044",195,1.39%
2015,서울특별시,광진구,전체,70~74세,"10,830",420,3.88%
2015,서울특별시,광진구,전체,75~79세,"7,209",848,11.76%
2015,서울특별시,광진구,전체,80~84세,"3,706",781,21.06%
2015,서울특별시,광진구,전체,85세이상,"2,573","1,002",38.94%
2015,서울특별시,광진구,전체,60세이상,"56,873","3,357",5.90%
2015,서울특별시,광진구,전체,65세이상,"38,362","3,245",8.46%
2015,서울특별시,동대문구,전체,65~69세,"17,203",237,1.38%
2015,서울특별시,동대문구,전체,70~74세,"14,618",564,3.86%
2015,서울특별시,동대문구,전체,75~79세,"9,793","1,152",11.77%
2015,서울특별시,동대문구,전체,80~84세,"5,027","1,052",20.94%
2015,서울특별시,동대문구,전체,85세이상,"3,137","1,221",38.92%
2015,서울특별시,동대문구,전체,60세이상,"70,835","4,353",6.15%
2015,서울특별시,동대문구,전체,65세이상,"49,777","4,227",8.49%
2015,서울특별시,중랑구,전체,65~69세,"19,136",265,1.39%
2015,서울특별시,중랑구,전체,70~74세,"14,941",577,3.86%
2015,서울특별시,중랑구,전체,75~79세,"9,526","1,120",11.76%
2015,서울특별시,중랑구,전체,80~84세,"4,935","1,041",21.09%
2015,서울특별시,중랑구,전체,85세이상,"3,256","1,233",37.87%
2015,서울특별시,중랑구,전체,60세이상,"76,475","4,388",5.74%
2015,서울특별시,중랑구,전체,65세이상,"51,793","4,237",8.18%
2015,서울특별시,성북구,전체,65~69세,"20,703",283,1.37%
2015,서울특별시,성북구,전체,70~74세,"17,672",680,3.85%
2015,서울특별시,성북구,전체,75~79세,"11,956","1,411",11.80%
2015,서울특별시,성북구,전체,80~84세,"6,157","1,291",20.96%
2015,서울특별시,성북구,전체,85세이상,"3,977","1,536",38.63%
2015,서울특별시,성북구,전체,60세이상,"85,502","5,350",6.26%
2015,서울특별시,성북구,전체,65세이상,"60,463","5,201",8.60%
2015,서울특별시,강북구,전체,65~69세,"17,765",241,1.36%
2015,서울특별시,강북구,전체,70~74세,"15,192",584,3.85%
2015,서울특별시,강북구,전체,75~79세,"9,679","1,138",11.76%
2015,서울특별시,강북구,전체,80~84세,"4,615",963,20.87%
2015,서울특별시,강북구,전체,85세이상,"2,882","1,118",38.78%
2015,서울특별시,강북구,전체,60세이상,"70,451","4,163",5.91%
2015,서울특별시,강북구,전체,65세이상,"50,133","4,045",8.07%
2015,서울특별시,도봉구,전체,65~69세,"15,979",222,1.39%
