"시도별","전답별",2015,2016,2017,2018
"전국","계",1679023,1643599,1620796,1595614
"전국","논",908194,895739,864865,844265
"전국","밭",770829,747860,755931,751349
"서울특별시","계",476,422,402,353
"서울특별시","논",176,176,167,159
"서울특별시","밭",300,246,235,193
"부산광역시","계",6008,5934,5742,5578
"부산광역시","논",3490,3348,3243,3091
"부산광역시","밭",2518,2586,2500,2487
"대구광역시","계",8291,8102,8062,7661
"대구광역시","논",3865,4025,3994,3535
"대구광역시","밭",4426,4077,4068,4126
"인천광역시","계",20114,19511,19004,18377
"인천광역시","논",13445,12720,12223,11547
"인천광역시","밭",6669,6791,6781,6829
"광주광역시","계",10261,9878,9446,9328
"광주광역시","논",6615,6167,5931,5792
"광주광역시","밭",3646,3711,3515,3535
"대전광역시","계",4305,4072,3888,3794
"대전광역시","논",1606,1544,1458,1400
"대전광역시","밭",2699,2528,2430,2394
"울산광역시","계",11003,10889,10540,10064
"울산광역시","논",6125,5926,5636,5485
"울산광역시","밭",4878,4963,4904,4578
"세종특별자치시","계",8260,8102,7958,7704
"세종특별자치시","논",4785,4616,4513,4387
"세종특별자치시","밭",3475,3486,3445,3317
"경기도","계",175417,169435,165707,162587
"경기도","논",95680,93216,88733,86243
"경기도","밭",79737,76219,76975,76345
"강원도","계",107277,104330,103133,101564
"강원도","논",38979,37763,35682,34170
"강원도","밭",68297,66567,67452,67394
"충청북도","계",111568,109161,107097,102870
"충청북도","논",44541,43807,40506,38613
"충청북도","밭",67027,65354,66591,64257
"충청남도","계",218787,215100,213238,211577
"충청남도","논",152677,151431,148558,146703
"충청남도","밭",66110,63669,64680,64874
"전라북도","계",203559,200720,199196,197541
"전라북도","논",134380,132854,130322,128333
"전라북도","밭",69179,67866,68874,69208
"전라남도","계",304799,298095,293863,290827
"전라남도","논",185190,183530,177753,173986
"전라남도","밭",119609,114565,116110,116841
"경상북도","계",274487,268461,265665,262049
"경상북도","논",126818,125846,121350,118813
"경상북도","밭",147669,142615,144315,143236
"경상남도","계",151769,149247,146766,144404
"경상남도","논",89803,88753,84780,81991
"경상남도","밭",61966,60494,61986,62413
"제주도","계",62642,62140,61088,59338
"제주도","논",18,17,17,17
"제주도","밭",62624,62123,61071,59321
