연도,지역,지역 세분,성별,연령,노인인구수,환자수,유병률,노인여가복지시설수(천명당),경지면적
2015,서울특별시,서울특별시,전체,65세이상,1201412,103186,8.59,2.04,476.0
2015,부산광역시,부산광역시,전체,65세이상,494583,41948,8.48,3.19,6008.0
2015,대구광역시,대구광역시,전체,65세이상,306532,27427,8.95,3.25,8291.0
2015,인천광역시,인천광역시,전체,65세이상,301597,28230,9.36,3.26,20114.0
2015,광주광역시,광주광역시,전체,65세이상,161639,14811,9.16,5.72,10261.0
2015,대전광역시,대전광역시,전체,65세이상,160508,14980,9.33,3.39,4305.0
2015,울산광역시,울산광역시,전체,65세이상,99335,8469,8.53,4.91,11003.0
2015,세종특별자치시,세종특별자치시,전체,65세이상,20886,2217,10.62,13.75,8260.0
2015,경기도,경기도,전체,65세이상,1269976,119715,9.43,4.95,175417.0
2015,강원도,강원도,전체,65세이상,255678,26054,10.19,8.59,107277.0
2015,충청북도,충청북도,전체,65세이상,229963,23662,10.29,12.46,111568.0
2015,충청남도,충청남도,전체,65세이상,333167,35896,10.77,12.45,218787.0
2015,전라북도,전라북도,전체,65세이상,325566,34152,10.49,14.94,203559.0
2015,전라남도,전라남도,전체,65세이상,385162,41108,10.67,17.54,304799.0
2015,경상북도,경상북도,전체,65세이상,470167,49264,10.48,12.05,274487.0
2015,경상남도,경상남도,전체,65세이상,453106,45548,10.05,11.18,151769.0
2015,제주특별자치도,제주특별자치도,전체,65세이상,83255,8594,10.32,3.78,62642.0
2016,서울특별시,서울특별시,전체,65세이상,1237366,108940,8.8,1.98,422.0
2016,부산광역시,부산광역시,전체,65세이상,515918,44691,8.66,3.06,5934.0
2016,대구광역시,대구광역시,전체,65세이상,318955,29121,9.13,3.12,8102.0
2016,인천광역시,인천광역시,전체,65세이상,314361,30049,9.56,3.09,19511.0
2016,광주광역시,광주광역시,전체,65세이상,167882,15683,9.34,5.46,9878.0
2016,대전광역시,대전광역시,전체,65세이상,166990,15858,9.5,3.2,4072.0
2016,울산광역시,울산광역시,전체,65세이상,105034,9000,8.57,4.67,10889.0
2016,세종특별자치시,세종특별자치시,전체,65세이상,23073,2457,10.65,12.95,8102.0
2016,경기도,경기도,전체,65세이상,1328018,128352,9.66,4.67,169435.0
2016,강원도,강원도,전체,65세이상,260576,27477,10.54,8.34,104330.0
2016,충청북도,충청북도,전체,65세이상,235762,24909,10.57,11.96,109161.0
2016,충청남도,충청남도,전체,65세이상,342605,37702,11.0,12.04,215100.0
2016,전라북도,전라북도,전체,65세이상,334697,35848,10.71,14.57,200720.0
2016,전라남도,전라남도,전체,65세이상,392528,42986,10.95,17.26,298095.0
2016,경상북도,경상북도,전체,65세이상,482460,51574,10.69,11.68,268461.0
2016,경상남도,경상남도,전체,65세이상,468462,47952,10.24,10.71,149247.0
2016,제주특별자치도,제주특별자치도,전체,65세이상,86475,9108,10.53,3.66,62140.0
2017,서울특별시,서울특별시,전체,65세이상,1283754,116132,9.05,1.9,402.0
2017,부산광역시,부산광역시,전체,65세이상,540955,47953,8.86,2.95,5742.0
2017,대구광역시,대구광역시,전체,65세이상,334442,31228,9.34,3.0,8062.0
2017,인천광역시,인천광역시,전체,65세이상,330178,32183,9.75,2.91,19004.0
2017,광주광역시,광주광역시,전체,65세이상,175046,16760,9.57,5.25,9446.0
2017,대전광역시,대전광역시,전체,65세이상,174499,16939,9.71,3.07,3888.0
2017,울산광역시,울산광역시,전체,65세이상,111716,9645,8.63,4.39,10540.0
2017,세종특별자치시,세종특별자치시,전체,65세이상,25286,2704,10.69,11.73,7958.0
2017,경기도,경기도,전체,65세이상,1401149,138434,9.88,4.42,165707.0
2017,강원도,강원도,전체,65세이상,269629,29090,10.79,8.01,103133.0
2017,충청북도,충청북도,전체,65세이상,244520,26388,10.79,11.43,107097.0
2017,충청남도,충청남도,전체,65세이상,353373,39986,11.32,11.62,213238.0
2017,전라북도,전라북도,전체,65세이상,343522,37921,11.04,14.16,199196.0
2017,전라남도,전라남도,전체,65세이상,400764,45169,11.27,16.83,293863.0
2017,경상북도,경상북도,전체,65세이상,498875,54458,10.92,11.35,265665.0
2017,경상남도,경상남도,전체,65세이상,488533,50814,10.4,10.21,146766.0
2017,제주특별자치도,제주특별자치도,전체,65세이상,89965,9669,10.75,3.52,61088.0
2018,서울특별시,서울특별시,전체,65세이상,1339176,123699,9.24,1.86,353.0
2018,부산광역시,부산광역시,전체,65세이상,567603,51262,9.03,2.87,5578.0
2018,대구광역시,대구광역시,전체,65세이상,351311,33461,9.52,2.93,7661.0
2018,인천광역시,인천광역시,전체,65세이상,349174,34429,9.86,2.76,18377.0
2018,광주광역시,광주광역시,전체,65세이상,182315,17809,9.77,5.01,9328.0
2018,대전광역시,대전광역시,전체,65세이상,182944,18081,9.88,2.93,3794.0
2018,울산광역시,울산광역시,전체,65세이상,119255,10360,8.69,4.18,10064.0
2018,세종특별자치시,세종특별자치시,전체,65세이상,27774,2966,10.68,11.06,7704.0
2018,경기도,경기도,전체,65세이상,1488800,149060,10.01,4.19,162587.0
2018,강원도,강원도,전체,65세이상,281146,30732,10.93,7.75,101564.0
2018,충청북도,충청북도,전체,65세이상,255013,27913,10.95,10.95,102870.0
