"특성별(1)",특성별(2),2014,2014,2014,2014,2017,2017,2017,2017
"특성별(1)",특성별(2),응답자수 (명),정상 (%),우울증상 (%),평균점수 (점),응답자수 (명),정상 (%),우울증상 (%),평균점수 (점)
"전체",소계,10261,66.9,33.1,5.4,10073,78.9,21.1,4.1
"지역별",동부,7855,66.8,33.2,5.4,6924,78.3,21.7,4.2
"지역별",읍·면부,2405,67.1,32.9,5.5,3149,80.2,19.8,3.9
"성별",남자,4281,73.9,26.1,4.6,4286,82.8,17.2,3.6
"성별",여자,5980,61.9,38.1,6.0,5788,76.0,24.0,4.5
"연령별",65~69세,3293,76.1,23.9,4.2,3314,84.9,15.1,3.2
"연령별",70~74세,2807,68.5,31.5,5.2,2536,81.8,18.2,3.8
"연령별",75~79세,2116,61.5,38.5,6.1,2137,76.4,23.6,4.5
"연령별",80~84세,1282,58.1,41.9,6.4,1314,69.3,30.7,5.3
"연령별",85세 이상,764,51.0,49.0,7.2,774,66.9,33.1,5.7
"결혼상태별",배우자 있음,6326,73.1,26.9,4.7,6416,83.5,16.5,3.5
"결혼상태별",배우자 없음,3935,57.0,43.0,6.5,3657,70.8,29.2,5.1
"가구형태별",노인독거,2386,56.3,43.7,6.6,2416,69.8,30.2,5.2
"가구형태별",노인부부,4587,73.8,26.2,4.6,4908,83.6,16.4,3.5
"가구형태별",자녀동거,2875,65.1,34.9,5.6,2371,78.3,21.7,4.3
"가구형태별",기타,414,63.5,36.5,5.6,379,80.0,20.0,3.9
"교육수준별",무학(글자모름),971,41.9,58.1,8.1,627,59.6,40.4,6.4
"교육수준별",무학(글자해독),2131,55.7,44.3,6.7,1766,68.6,31.4,5.5
"교육수준별",초등학교,3299,66.8,33.2,5.5,3452,79.2,20.8,4.1
"교육수준별",중학교,1346,75.0,25.0,4.5,1711,83.6,16.4,3.5
"교육수준별",고등학교,1714,79.3,20.7,3.9,1751,86.0,14.0,3.1
"교육수준별",전문대학 이상,799,87.1,12.9,3.0,766,90.3,9.7,2.5
"현 취업상태별",취업중,2962,78.6,21.4,4.0,3117,88.5,11.5,2.9
"현 취업상태별",미취업,7299,62.2,37.8,6.0,6956,74.6,25.4,4.6
"연가구소득별",제1오분위,2071,50.0,50.0,7.3,2038,65.0,35.0,5.7
"연가구소득별",제2오분위,2048,61.2,38.8,6.1,2010,75.6,24.4,4.5
"연가구소득별",제3오분위,2038,69.7,30.3,5.1,2023,81.4,18.6,3.9
"연가구소득별",제4오분위,2043,73.5,26.5,4.5,2004,84.4,15.6,3.4
"연가구소득별",제5오분위,2033,80.4,19.6,3.8,1998,88.4,11.6,2.9
"기능상태별",제한없음,8526,72.4,27.6,4.7,7689,85.0,15.0,3.3
"기능상태별",제한있음,1735,39.8,60.2,8.6,2385,59.2,40.8,6.5
